Date,ISIN,Scrip Code, Scrip Name,MWPL,Open Interest
05-02-2024,INE531E01026,513599,HINDCOPPER,65482129,64506300
05-02-2024,INE383A01012,530005,INDIACEM,44362911,46620400
05-02-2024,INE121J01017,534816,INDUSTOWER,166895623,203456000
05-02-2024,INE139A01034,532234,NATIONALUM,178967755,183097500
05-02-2024,INE628A01036,512070,UPL,101555650,104280800
05-02-2024,INE256A01028,505537,ZEEL,184440627,156606000
