Date,ISIN,Scrip Code, Scrip Name,MWPL,Open Interest
16-02-2024,INE647O01011,535755,ABFRL,83625756,70184400
16-02-2024,INE208A01029,500477,ASHOKLEY,282359403,230915000
16-02-2024,INE119A01028,500038,BALRAMCHIN,23040698,19180800
16-02-2024,INE545U01014,541153,BANDHANBNK,193358339,174612500
16-02-2024,INE476A01014,532483,CANBK,134484114,126068400
16-02-2024,INE124G01033,532848,DELTACORP,35744131,29820000
16-02-2024,INE531E01026,513599,HINDCOPPER,65482129,60738000
16-02-2024,INE383A01012,530005,INDIACEM,44362911,38343800
16-02-2024,INE121J01017,534816,INDUSTOWER,166895623,165699000
16-02-2024,INE139A01034,532234,NATIONALUM,178967755,181732500
16-02-2024,INE114A01011,500113,SAIL,289139949,237088000
16-02-2024,INE256A01028,505537,ZEEL,184440627,171405000
