Date,ISIN,Scrip Code, Scrip Name,MWPL,Open Interest
07-02-2024,INE208A01029,500477,ASHOKLEY,282359403,280515000
07-02-2024,INE119A01028,500038,BALRAMCHIN,23040698,24428800
07-02-2024,INE124G01033,532848,DELTACORP,35744131,39816000
07-02-2024,INE531E01026,513599,HINDCOPPER,65482129,61453500
07-02-2024,INE383A01012,530005,INDIACEM,44362911,44628100
07-02-2024,INE121J01017,534816,INDUSTOWER,166895623,188377000
07-02-2024,INE139A01034,532234,NATIONALUM,178967755,151260000
07-02-2024,INE114A01011,500113,SAIL,289139949,314320000
07-02-2024,INE628A01036,512070,UPL,101555650,88765300
07-02-2024,INE256A01028,505537,ZEEL,184440627,151023000
