New Entries:
| Patel Integrated Logistics Limited  | T                                   | B                    |
| AJEL LTD.                           | XT                                  | X                    |
| Vikas EcoTech Limited               | T                                   | B                    |
| Kanani Industries Limited           | B                                   | T                    |
| SANDU PHARMACEUTICALS LTD.          | XT                                  | X                    |
| Kesoram Industries Limited          | T                                   | A                    |
| JOHN COCKERILL INDIA LIMITED        | X                                   | B                    |
| NIHAR INFO GLOBAL LTD.              | X                                   | XT                   |
| Apollo Pipes Limited                | B                                   | A                    |
| Apollo Micro Systems Limited        | B                                   | T                    |
| Syncom Formulations (India) Limited | B                                   | T                    |
| AMINES & PLASTICIZERS LTD.          | X                                   | B                    |
| KANORIA ENERGY & INFRASTRUCTUR      | XT                                  | X                    |
| Aveer Foods Limited                 | XT                                  | X                    |
| Jindal Worldwide Limited            | B                                   | A                    |
| BOMBAY CYCLE & MOTOR AGENCY LT      | XT                                  | X                    |
| RAGHUNATH TOBACCO CO.LTD.           | X                                   | XT                   |
| DVR - GACM Technologies Limited     | T                                   | B                    |
| EFC (I) LIMITED                     | XT                                  | X                    |
| CHD Chemicals Limited               | B                                   | T                    |
| KMS Medisurgi Limited               | M                                   | MT                   |
| Transformers And Rectifiers (India) Limited | B                                   | T                    |
| SHREE PACETRONIX LTD.               | XT                                  | X                    |
| Tilak Ventures Limited              | XT                                  | X                    |
| ABC INDIA LTD.                      | XT                                  | X                    |
| MAXHEIGHTS INFRASTRUCTURE LTD.      | XT                                  | X                    |
| Indo-National Limited               | T                                   | B                    |
| HARYANA CAPFIN LTD.                 | XT                                  | X                    |
| Sanghvi Movers Limited              | B                                   | A                    |
| GALAXY AGRICO EXPORTS LTD.          | X                                   | XT                   |
| Nitco Limited                       | B                                   | T                    |
| SSPDL LTD.                          | X                                   | XT                   |
| Mercury Laboratories Limited        | X                                   | XT                   |
| MIRC Electronics Limited            | T                                   | B                    |
| KANUNGO FINANCIERS LIMITED          | XT                                  | X                    |
| Fusion Micro Finance Limited        | B                                   | A                    |
| KINGS INFRA VENTURES LIMITED        | XT                                  | X                    |
| Sunflag Iron And Steel Company Limited | B                                   | A                    |
| POLYTEX INDIA LTD.                  | X                                   | XT                   |
| Creative Castings Limited           | XT                                  | X                    |
| AMIN TANNERY LIMITED                | X                                   | XT                   |
| UPSURGE INVESTMENT & FINANCE L      | X                                   | XT                   |
| INDITRADE CAPITAL LIMITED           | XT                                  | X                    |
| Himadri Speciality Chemical Limited | A                                   | T                    |
| AMD Industries Limited              | B                                   | T                    |
| Narmada Agrobase Limited            | B                                   | T                    |
| Sun Pharma Advanced Research Company Limited | A                                   | T                    |
| TEXEL INDUSTRIES LTD.               | XT                                  | X                    |
| TALBROS ENGINEERING LIMITED         | XT                                  | X                    |
| Athena Global Technologies Lim      | XT                                  | X                    |
| Autoline Industries Limited         | T                                   | B                    |
| JOHNSON PHARMACARE LIMITED          | X                                   | XT                   |
| TITAN INTECH LIMITED                | XT                                  | X                    |
| Bhandari Hosiery Exports Limited    | T                                   | B                    |
| Escorp Asset Management Limite      | M                                   | MT                   |
| PTC Industries Limited              | A                                   | B                    |
| BSEL ALGO LIMITED                   | XT                                  | X                    |
| INNOVATIVE TECH PACK LTD.           | XT                                  | X                    |
| JYOTI RESINS & ADHESIVES LTD.       | A                                   | B                    |
| SECUREKLOUD TECHNOLOGIES LIMITED    | B                                   | T                    |
| ABHINAV CAPITAL SERVICES LTD.       | XT                                  | X                    |
| JOSTS ENGINEERING CO.LTD.           | X                                   | XT                   |
| Burnpur Cement Limited              | B                                   | T                    |
| SURYALATA SPINNING MILLS LTD.       | XT                                  | X                    |
| Signet Industries Limited           | T                                   | B                    |
| Patanjali Foods Limited             | T                                   | A                    |
| ARIHANTS SECURITIES LTD.            | XT                                  | X                    |
| KIRAN PRINT-PACK LTD.               | XT                                  | X                    |
| LAKSHMI AUTOMATIC LOOM WORKS L      | XT                                  | X                    |
| Nagreeka Exports Limited            | B                                   | T                    |
| Alok Industries Limited             | A                                   | T                    |
| ZODIAC-JRD-MKJ LTD.                 | XT                                  | X                    |
| JUMBO BAG LTD.                      | XT                                  | X                    |
| Lancer Container Lines Limited      | X                                   | B                    |
| MODERN SHARES & STOCKBROKERS L      | X                                   | XT                   |
| Stel Holdings Limited               | T                                   | B                    |
| PVP Ventures Limited                | T                                   | B                    |
| NUWAY ORGANIC NATURALS INDIA L      | XT                                  | Z                    |
| CHOKSI IMAGING LTD.                 | X                                   | XT                   |
| Cineline India Limited              | T                                   | B                    |
| SYLPH TECHNOLOGIES LTD.             | X                                   | XT                   |
| Talbros Automotive Components Limited | B                                   | T                    |
| RAMCHANDRA LEASING & FINANCE L      | X                                   | XT                   |
| Novateor Research Laboratories      | M                                   | MT                   |
| HB ESTATE DEVELOPERS LTD.           | X                                   | XT                   |
| Onelife Capital Advisors Limited    | B                                   | T                    |
| Vineet Laboratories Limited         | B                                   | T                    |
| FORCE MOTORS LTD                    | B                                   | A                    |
| Manugraph India Limited             | T                                   | B                    |
| Span Divergent Limited              | XT                                  | X                    |
| Agri-Tech (India) Limited           | T                                   | B                    |
| Golkonda Aluminium Extrusions       | Z                                   | X                    |
| Crane Infrastructure Limited        | XT                                  | X                    |
| Atishay Limited                     | XT                                  | X                    |
| TIGER LOGISTICS (INDIA) LTD         | X                                   | XT                   |
| NIDHI GRANITES LTD.                 | X                                   | XT                   |
| SP CAPITAL FINANCING LTD.           | XT                                  | X                    |
| Shiva Texyarn Limited               | B                                   | T                    |
| SAYAJI HOTELS LTD.                  | XT                                  | X                    |
| Patron Exim Limited                 | M                                   | MT                   |
| Innovative Ideals and Services      | MT                                  | M                    |
| LIME CHEMICALS LTD.                 | XT                                  | X                    |
| GARNET CONSTRUCTION LTD.            | X                                   | XT                   |
| AXTEL INDUSTRIES LTD.               | X                                   | XT                   |
| RAGHUVIR SYNTHETICS LTD.            | XT                                  | X                    |
| Alankit Limited                     | B                                   | T                    |
| Sterling and Wilson Renewable Energy Limited | T                                   | A                    |
| NETLINK SOLUTIONS (INDIA) LTD.      | X                                   | XT                   |
| REGIS INDUSTRIES LIMITED            | XT                                  | X                    |
| SAILANI TOURS N TRAVELS LIMITE      | M                                   | MT                   |
| K.P. Energy Limited                 | B                                   | XT                   |
| DEEP ENERGY RESOURCES LIMITED       | T                                   | B                    |
| Kokuyo Camlin Limited               | T                                   | B                    |
| Bhatia Communications & Retail      | T                                   | B                    |
| GOBLIN INDIA LIMITED                | M                                   | MT                   |
| Tinna Trade Limited                 | X                                   | XT                   |
| Smart Finsec Limited                | X                                   | XT                   |
| PARNAX LAB LTD.                     | XT                                  | X                    |
| SUNSHIELD CHEMICALS LTD.            | XT                                  | X                    |
| COSCO (INDIA) LTD.                  | XT                                  | X                    |
| RATHI BARS LTD.                     | X                                   | XT                   |
| TELECANOR GLOBAL LTD.               | X                                   | XT                   |
| Shree Bhavya Fabrics Limited        | X                                   | XT                   |
| PHOENIX TOWNSHIP LTD                | XT                                  | X                    |
| STEP TWO CORPORATION LTD.           | X                                   | XT                   |
| Adani Power Limited                 | A                                   | T                    |
| Svarnim Trade Udyog Limited         | X                                   | XT                   |
| Aditya Birla Money Limited          | B                                   | T                    |
| KMF BUILDERS & DEVELOPERS LTD.      | X                                   | XT                   |
| Lotus Eye Hospital and Institute Limited | T                                   | B                    |
| Almondz Global Securities Limited   | B                                   | T                    |
| TIAAN CONSUMER LIMITED              | X                                   | XT                   |
| KESAR TERMINALS & INFRASTRUCTU      | X                                   | XT                   |
| PORWAL AUTO COMPONENTS LTD.         | XT                                  | X                    |
| GARNET INTERNATIONAL LTD.           | X                                   | XT                   |
| BANSAL ROOFING PRODUCTS LTD         | T                                   | B                    |
| JMJ Fintech Limited                 | XT                                  | X                    |
| SHILCHAR TECHNOLOGIES LTD.          | X                                   | B                    |
| Compuage Infocom Limited            | B                                   | Z                    |
| VARIMAN GLOBAL ENTERPRISES LIM      | X                                   | XT                   |
| PANAFIC INDUSTRIALS LTD             | XT                                  | X                    |
| NDA SECURITIES LTD.                 | XT                                  | X                    |
| SHANTI GURU INDUSTRIES LIMITED      | M                                   | MT                   |
| Atal Realtech Limited               | T                                   | B                    |
